microsecond,acSX,acSY,acSZ,accX,accY,accZ,angX,angY,angZ,score
0,1.029,-0.069,0.046,-0.244,-0.427,0.549,-57.579,-85.809,46.055,3
28,0.997,-0.161,-0.02,0.305,0.366,0.61,-94.988,-79.453,-144.778,3
88,1.029,-0.062,0.042,-0.244,-0.793,0.122,-57.843,-85.82,46.346,3
133,0.995,-0.163,-0.025,0.549,0.732,0.305,-94.955,-79.492,-144.86,3
191,1.023,-0.062,0.019,0.427,-0.793,-0.427,-58.26,-85.886,46.807,3
239,0.999,-0.167,-0.02,0.488,0.122,-0.793,-94.911,-79.623,-144.904,3
281,1.039,-0.046,0.047,-0.183,0,-1.038,-59.777,-85.99,48.323,3
315,1,-0.158,-0.03,-0.793,0.732,1.404,-94.576,-79.695,-145.36,3
385,1.03,-0.064,0.05,1.16,1.587,0.916,-58.738,-85.946,47.23,3
418,0.997,-0.155,-0.011,0.61,0.183,2.258,-94.609,-79.563,-145.333,3
520,1.022,-0.068,0.03,-0.549,-0.122,-0.61,-57.404,-85.935,45.956,3
525,0.992,-0.164,-0.031,0.061,0.183,-0.122,-94.521,-79.552,-145.464,3
583,1.032,-0.054,0.04,0.488,-1.526,-0.183,-59.002,-86.012,47.615,3
613,1,-0.158,-0.021,-0.061,0.61,-0.549,-94.422,-79.684,-145.563,3
686,1.037,-0.065,0.05,0.122,0.183,0,-59.42,-86.083,48.01,3
719,1.003,-0.159,-0.021,-0.122,0.183,2.075,-94.252,-79.695,-145.838,3
792,1.025,-0.054,0.036,-0.61,2.136,0.671,-57.255,-85.957,45.813,3
808,0.995,-0.161,-0.024,-0.305,0.488,1.831,-94.285,-79.53,-145.882,3
896,1.024,-0.06,0.04,0.244,-0.671,0.244,-57.184,-85.941,45.764,3
914,0.996,-0.161,-0.023,0.305,0.244,-0.122,-94.378,-79.53,-145.816,3
985,1.032,-0.065,0.049,-0.122,-0.854,0.183,-58.277,-86.023,46.868,3
1018,0.999,-0.162,-0.022,0.244,0.244,0.244,-94.307,-79.623,-145.904,3
1095,1.035,-0.068,0.047,-0.549,0.732,0.183,-58.008,-86.023,46.566,3
1108,0.997,-0.162,-0.028,-0.488,0.122,1.526,-94.274,-79.607,-145.959,3
1197,1.035,-0.058,0.044,0.732,0.427,-0.244,-57.458,-85.974,46.038,3
1213,0.995,-0.159,-0.012,0.366,0.183,1.343,-94.252,-79.552,-145.959,3
1302,1.029,-0.065,0.036,0.793,-0.427,-0.183,-56.876,-85.963,45.505,3
1307,0.998,-0.156,-0.019,0.916,0,0.732,-94.208,-79.525,-145.948,3
1406,1.027,-0.056,0.028,1.465,0.061,-0.183,-57.063,-85.93,45.791,3
1411,1.001,-0.157,-0.024,1.831,0.916,-0.061,-94.334,-79.53,-145.756,3
1498,1.033,-0.079,0.054,1.953,-0.305,-1.16,-57.673,-86.078,46.533,3
1513,0.996,-0.163,-0.027,1.953,1.099,0.122,-93.911,-79.623,-146.201,3
1601,1.033,-0.04,0.05,0.916,1.282,-0.122,-57.047,-86.017,46.027,3
1706,1.022,-0.062,0.037,-1.038,0.061,-0.122,-55.904,-85.99,44.852,3
1714,0.994,-0.164,-0.025,-1.16,0.366,0.916,-93.774,-79.497,-146.223,3
1800,0.993,-0.157,-0.019,-0.183,-0.061,-0.916,-93.944,-79.574,-146.228,3
1841,1.026,-0.055,0.032,-0.305,-1.831,0.61,-57.36,-86.028,46.318,3
1904,0.999,-0.154,-0.014,-0.61,0.854,-1.465,-93.779,-79.788,-146.354,3
1947,1.032,-0.045,0.041,-0.916,-1.831,-0.488,-59.557,-86.193,48.543,3
1993,1.001,-0.16,-0.033,1.221,0.671,-0.671,-93.713,-79.958,-146.684,3
2021,1.036,-0.066,0.04,1.282,-1.526,-0.427,-61.43,-86.303,50.372,3
2097,0.96,-0.169,-0.027,-1.892,-0.793,3.235,-93.477,-79.75,-146.948,3
2112,1.004,-0.067,0.081,-1.282,10.803,1.709,-56.058,-86.067,44.852,3
2204,1.009,-0.157,-0.01,1.16,2.747,-4.211,-92.961,-80.228,-147.36,3
2216,1.044,-0.051,0.093,1.892,24.597,-3.601,-35.557,-84.792,24.362,3
2322,1.03,-0.049,0.117,2.441,26.367,-0.122,-23.802,-82.656,12.585,3
2399,1.001,-0.135,-0.017,-0.427,1.038,-0.244,-91.895,-80.656,-149.2,3
2411,1.016,-0.05,0.135,0.61,23.499,-1.038,-17.271,-80.387,6.092,3
2489,0.996,-0.143,-0.014,0.488,0.793,-2.808,-91.478,-80.859,-150.145,3
